V25  56446.711  10.786   0.028  56446.707  10.681   0.020
V25  56446.758  10.798   0.032  56446.754  10.679   0.018
V25  56446.809  10.824   0.039  56446.805  10.720   0.026
V26  56446.234  10.948   0.038  56446.230  10.852   0.018
V26  56446.301  10.912   0.045  56446.297  10.796   0.067
V26  56446.348  10.913   0.042  56446.344  10.793   0.060
V26  56446.406  10.938   0.036  56446.402  10.833   0.018
V26  56446.449  10.957   0.029  56446.445  10.865   0.029
V26  56446.504  10.987   0.026  56446.500  10.886   0.023
V26  56446.555  11.011   0.044  56446.551  10.895   0.086
V26  56446.609  11.083   0.023  56446.605  10.976   0.030
V26  56446.664  11.159   0.028  56446.660  11.056   0.030
V26  56446.711  11.223   0.048  56446.707  11.104   0.102
V26  56446.758  11.000   0.023  56446.754  10.965   0.031
V26  56446.812  10.905   0.039  56446.809  10.845   0.033
V27  56446.234  10.903   0.027
V27  56446.297  10.958   0.027
V27  56446.344  11.034   0.032
V27  56446.402  11.005   0.032
V27  56446.445  10.888   0.043
V27  56446.500  10.817   0.037
V27  56446.555  10.818   0.050
V27  56446.609  10.792   0.029
V27  56446.660  10.814   0.059
V27  56446.711  10.828   0.033
V27  56446.758  10.853   0.020
V27  56446.809  10.894   0.024
V28  56446.234  11.234   0.036  56446.230  11.198   0.069
V28  56446.297  10.943   0.029  56446.293  10.840   0.014
V28  56446.348  10.954   0.031  56446.344  10.858   0.017
V28  56446.402  10.965   0.028  56446.398  10.857   0.032
V28  56446.445  10.969   0.018  56446.445  10.876   0.024
V28  56446.500  10.997   0.015  56446.500  10.905   0.027
V28  56446.555  11.073   0.044  56446.551  10.951   0.015
V28  56446.609  11.094   0.011  56446.605  10.997   0.022
V28  56446.660  11.150   0.015  56446.660  11.053   0.030
V28  56446.711  11.275   0.048  56446.707  11.151   0.010
V28  56446.758  11.249   0.025  56446.754  11.174   0.026
V28  56446.809  10.934   0.031  56446.805  10.820   0.023
V29  56446.230  10.993   0.059
V29  56446.293  11.023   0.034
V29  56446.344  11.073   0.036
V29  56446.398  11.157   0.028
V29  56446.445  11.242   0.036
V29  56446.500  11.100   0.033
V29  56446.551  10.975   0.024
V29  56446.605  10.977   0.029
V29  56446.660  10.979   0.029
V29  56446.707  10.931   0.035
V29  56446.754  11.023   0.038
V29  56446.805  11.062   0.042
V36                             56446.227  10.994   0.031
V36                             56446.289  10.887   0.027
V36                             56446.340  10.865   0.029
V36                             56446.395  10.845   0.032
V36                             56446.438  10.850   0.030
V36                             56446.492  10.866   0.031
V36                             56446.547  10.897   0.035
V36                             56446.602  10.949   0.028
V36                             56446.652  10.998   0.027
V36                             56446.703  11.090   0.029
V36                             56446.750  11.114   0.020
V36                             56446.801  10.914   0.023
V37  56446.227  11.476   0.042  56446.227  11.406   0.008
V37  56446.289  11.433   0.045  56446.293  11.361   0.030
V37  56446.340  11.457   0.048  56446.340  11.386   0.032
V37  56446.395  11.488   0.061  56446.398  11.422   0.016
V37  56446.438  11.498   0.045  56446.441  11.417   0.020
V37  56446.492  11.476   0.042  56446.496  11.395   0.015
V37  56446.547  11.446   0.042  56446.547  11.371   0.026
V37  56446.602  11.496   0.033  56446.602  11.411   0.021
V37  56446.652  11.504   0.035  56446.656  11.435   0.014
V37  56446.703  11.483   0.041  56446.707  11.406   0.028
V37  56446.750  11.457   0.039  56446.750  11.400   0.016
V37  56446.801  11.466   0.035  56446.805  11.401   0.021
V38  56446.230  10.865   0.035  56446.230  10.795   0.038
V38  56446.293  10.805   0.042  56446.293  10.713   0.035
V38  56446.344  10.790   0.040  56446.344  10.695   0.033
V38  56446.398  10.773   0.026  56446.398  10.674   0.031
V38  56446.441  10.758   0.039  56446.441  10.670   0.036
V38  56446.496  10.769   0.043  56446.496  10.682   0.035
V38  56446.551  10.800   0.048  56446.551  10.701   0.035
V38  56446.605  10.809   0.040  56446.605  10.735   0.038
V38  56446.656  10.846   0.042  56446.656  10.770   0.035
V38  56446.707  10.895   0.044  56446.707  10.825   0.035
V38  56446.754  10.951   0.038  56446.750  10.872   0.040
V38  56446.805  10.877   0.032  56446.805  10.798   0.032
V39  56446.230  10.831   0.032  56446.230  10.741   0.022
V39  56446.293  10.831   0.033  56446.293  10.751   0.028
V39  56446.344  10.853   0.033  56446.344  10.771   0.026
V39  56446.398  10.880   0.035  56446.398  10.799   0.026
V39  56446.441  10.900   0.030  56446.441  10.828   0.025
V39  56446.496  10.954   0.034  56446.496  10.873   0.024
V39  56446.551  10.996   0.038  56446.551  10.923   0.026
V39  56446.605  10.973   0.036  56446.605  10.898   0.025
V39  56446.660  10.918   0.036  56446.660  10.841   0.022
V39  56446.707  10.859   0.037  56446.707  10.790   0.024
V39  56446.754  10.861   0.055  56446.750  10.760   0.021
V39  56446.805  10.845   0.056  56446.805  10.744   0.019
V40  56446.230  10.965   0.062  56446.230  10.878   0.039
V40  56446.293  10.920   0.087  56446.293  10.814   0.029
V40  56446.344  10.896   0.074  56446.344  10.806   0.028
V40  56446.398  10.929   0.055  56446.398  10.830   0.028
V40  56446.441  10.950   0.064  56446.441  10.863   0.033
V40  56446.496  10.965   0.041  56446.496  10.887   0.033
V40  56446.551  10.978   0.065  56446.551  10.884   0.029
V40  56446.605  10.941   0.056  56446.605  10.872   0.031
V40  56446.660  10.919   0.051  56446.656  10.833   0.031
V40  56446.707  10.939   0.103  56446.707  10.813   0.025
V40  56446.754  10.909   0.062  56446.754  10.815   0.030
V40  56446.805  10.942   0.049  56446.805  10.835   0.030
V41  56446.234  11.487   0.038
V41  56446.301  11.486   0.043  56446.234  11.408   0.013
V41  56446.348  11.526   0.038  56446.297  11.413   0.016
V41  56446.406  11.552   0.044  56446.344  11.450   0.019
V41  56446.449  11.518   0.029  56446.402  11.478   0.017
V41  56446.504  11.492   0.021  56446.445  11.439   0.014
V41  56446.555  11.481   0.043  56446.500  11.407   0.019
V41  56446.609  11.563   0.024  56446.555  11.422   0.021
V41  56446.664  11.559   0.025  56446.609  11.469   0.015
V41  56446.711  11.480   0.042  56446.660  11.480   0.015
V41  56446.758  11.470   0.052  56446.711  11.424   0.020
V41  56446.812  11.495   0.037  56446.809  11.438   0.023
V42  56446.230  11.354   0.071
V42  56446.293  11.405   0.105
V42  56446.344  11.373   0.121
V42  56446.398  11.317   0.156
V42  56446.441  11.311   0.118
V42  56446.500  11.333   0.128
V42  56446.551  11.356   0.083
V42  56446.605  11.406   0.107
V42  56446.660  11.375   0.119
V42  56446.707  11.335   0.016
V42  56446.754  11.324   0.106
V42  56446.805  11.318   0.112
V49  56446.234  11.545   0.016  56446.230  11.482   0.014
V49  56446.301  11.560   0.039  56446.293  11.506   0.025
